name,edhrec_rank,penny_rank,num_printings,rarity
"Isochron Scepter",699,,10,rare
"Isolated Chapel",98,61,18,rare
"Izzet Boilerworks",374,538,23,uncommon
"Izzet Signet",162,1950,21,common
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",6247,,5,mythic
"Jace, the Mind Sculptor",3387,,10,mythic
"Jeska's Will",102,,5,rare
"Jet Medallion",290,2003,8,rare
Jokulhaups,10633,438,5,rare
"Jungle Shrine",294,1283,24,uncommon
Karakas,,,9,mythic
"Karn Liberated",6695,,9,mythic
"Karn's Bastion",198,3238,12,rare
"Karn, the Great Creator",1862,,8,mythic
"Karplusan Forest",230,118,29,rare
"Kessig Wolf Run",372,1595,11,rare
"Kindred Discovery",336,,9,rare
"Kitchen Finks",13774,290,6,uncommon
"Knight of the Reliquary",4844,2658,5,rare
"Kodama's Reach",36,6214,26,common
"Land Tax",426,,18,mythic
"Ledger Shredder",842,,5,rare
"Leyline of the Void",3384,,12,rare
"Library of Alexandria",,,3,mythic
"Lightning Bolt",159,,56,uncommon
"Lightning Greaves",13,1005,45,uncommon
"Lightning Helix",3625,317,17,uncommon
"Liliana of the Veil",2854,,10,mythic
"Liliana, the Last Hope",7369,,9,mythic
"Lion's Eye Diamond",726,,1,mythic
"Living Death",483,225,14,rare
"Living End",15118,268,4,mythic
"Llanowar Elves",62,276,55,common
"Llanowar Wastes",151,120,21,rare
"Lord of the Pit",12756,15369,19,rare
"Lotus Cobra",309,2048,11,rare
"Lotus Petal",117,,13,uncommon
"Lurrus of the Dream-Den",2681,274,9,rare
"Luxury Suite",157,,5,rare
"Maelstrom Pulse",3455,619,11,rare
"Mahamoti Djinn",24451,15383,25,uncommon
"Mana Confluence",118,,8,rare
"Mana Drain",114,,10,mythic
"Mana Geyser",341,12667,8,common
"Mana Vault",143,,18,mythic
"Marsh Flats",51,,11,rare
"Maskwood Nexus",477,12672,10,rare
"Maze of Ith",513,,9,rare
"Meandering Towershell",18105,15403,3,rare
"Mental Misstep",441,,5,uncommon
"Mind Stone",31,,42,uncommon
"Mishra's Factory",2930,107,25,uncommon
"Misty Rainforest",41,,11,rare
"Monastery Swiftspear",7124,111,11,uncommon
"Morbid Opportunist",272,9854,14,uncommon
"Morphic Pool",136,,5,rare
"Mosswort Bridge",191,3973,19,rare
"Mother of Runes",516,159,14,uncommon
"Mox Diamond",246,,2,mythic
"Mox Emerald",,,10,bonus
"Mox Jet",,,10,bonus
"Mox Pearl",,,10,bonus
"Mox Ruby",,,10,bonus
"Mox Sapphire",,,10,bonus
"Murktide Regent",14490,,7,mythic
Mutavault,1860,,10,rare
"Myriad Landscape",24,,39,uncommon
"Mystic Forge",427,1199,14,rare
"Mystic Monastery",371,521,18,uncommon
"Mystic Remora",93,,7,rare
"Mystic Sanctuary",176,110,5,common
"Mystical Tutor",139,,12,rare
"Narset, Parter of Veils",838,,8,uncommon
"Natural Order",1642,,6,mythic
"Nature's Claim",360,,9,common
"Nature's Lore",30,1579,20,uncommon
Necromancy,938,,3,uncommon
Necropotence,498,49,12,mythic
Negate,53,181,29,common
"Nicol Bolas, Dragon-God",4219,2254,8,mythic
"Night's Whisper",196,,17,common
Nightmare,13547,10814,27,rare
"Nissa, Who Shakes the World",1503,1544,7,rare
"Nomad Outpost",349,770,14,uncommon
"Nylea, God of the Hunt",3083,3577,3,mythic
"Ohran Frostfang",469,,8,rare
"Oko, Thief of Crowns",1838,,6,mythic
Omniscience,1034,,12,mythic
"One with Nothing",16514,10605,2,rare
Opposition,5966,,8,rare
Opt,210,69,18,common
"Opulent Palace",368,532,15,uncommon
"Orcish Bowmasters",247,,4,rare
"Orzhov Basilica",364,2355,25,uncommon
"Orzhov Signet",172,1668,24,common
"Otawara, Soaring City",91,,5,rare
"Overgrown Farmland",292,1698,12,rare
"Overgrown Tomb",74,28,15,rare
"Pact of Negation",354,,8,rare
Panharmonicon,259,4943,14,rare
"Path of Ancestry",14,,43,common
"Path to Exile",15,5,47,uncommon
"Phyrexian Altar",313,,8,rare
"Phyrexian Arena",96,353,24,rare
"Phyrexian Metamorph",298,2023,9,rare
"Phyrexian Obliterator",1861,1361,9,mythic
"Phyrexian Tower",211,,8,mythic
"Pitiless Plunderer",236,6822,10,uncommon
Plateau,458,,10,rare
"Polluted Delta",38,,10,rare
Ponder,147,6,23,common
Pongify,160,3751,9,uncommon
"Port Town",338,330,18,rare
"Prairie Stream",104,188,33,rare
Preordain,216,,20,common
"Prismatic Vista",192,,4,rare
"Professional Face-Breaker",222,4395,8,rare
Propaganda,121,,17,uncommon
"Psychosis Crawler",451,11327,14,rare
"Purphoros, God of the Forge",648,4804,7,mythic
Putrefy,324,1169,29,uncommon
Pyroblast,440,,14,uncommon
"Questing Beast",2637,,8,mythic
"Ragavan, Nimble Pilferer",266,,10,mythic
"Rakdos Carnarium",452,1756,22,uncommon
"Rakdos Charm",321,2712,11,uncommon
"Rakdos Signet",152,1564,20,uncommon
"Rampaging Baloths",358,6105,19,rare
"Rampant Growth",26,655,46,common
"Rapid Hybridization",214,5002,10,uncommon
"Read the Bones",424,952,15,common
"Reality Shift",267,4845,16,uncommon
"Reality Smasher",9701,2335,4,rare
Reanimate,59,139,16,rare
"Reclamation Sage",284,1025,20,uncommon
"Recurring Nightmare",,292,2,mythic
"Red Elemental Blast",421,,12,uncommon
"Reflecting Pool",175,307,20,rare
"Rejuvenating Springs",141,,6,rare
"Relic of Progenitus",4726,,7,uncommon
"Reliquary Tower",10,3632,38,uncommon
Remand,4451,,7,uncommon
"Rest in Peace",2260,,15,mythic
"Return of the Wildspeaker",174,7389,15,rare
"Rhystic Study",40,,11,rare
"Rhythm of the Wild",193,2349,7,uncommon
"Rishadan Port",14112,,10,rare
"Rishkar's Expertise",245,4979,9,rare
"Rockfall Vale",207,520,11,rare
"Rogue's Passage",19,3626,31,uncommon
"Rootbound Crag",131,295,25,rare
"Royal Assassin",2087,7931,26,rare
"Rugged Prairie",322,197,11,rare
"Sacred Foundry",80,108,18,rare
"Sakura-Tribe Elder",105,,30,common
"Sandsteppe Citadel",492,528,14,uncommon
"Sanguine Bond",490,5148,10,rare
Savannah,467,,10,rare
"Scalding Tarn",50,,11,rare
Scapeshift,1217,802,4,mythic
"Scavenger Grounds",312,924,16,rare
"Scroll Rack",1403,,7,mythic
Scrubland,384,,11,rare
"Scute Swarm",225,3511,10,rare
"Sea of Clouds",165,,6,rare
"Seaside Citadel",389,911,20,uncommon
"Seat of the Synod",335,,13,common
"Secluded Courtyard",215,489,9,uncommon
"Seedborn Muse",281,7531,11,rare
"Seething Song",367,417,10,common
"Selvala, Heart of the Wilds",466,,9,mythic
"Sengir Vampire",17588,11097,31,uncommon
"Sensei's Divining Top",220,,8,rare
"Serra Angel",9423,11994,54,uncommon
"Serra's Sanctum",3007,,1,rare
"Sevinne's Reclamation",344,1821,9,rare
"Shadowblood Ridge",415,4347,21,rare
Shadowspear,328,,10,rare
Shahrazad,,,1,rare
"Shamanic Revelation",375,5853,15,rare
"Shark Typhoon",1227,26,8,rare
"Sheoldred, the Apocalypse",457,,7,mythic
"Shineshadow Snarl",442,1409,10,rare
"Shipwreck Marsh",218,,10,rare
"Shivan Dragon",10803,10636,41,uncommon
"Shivan Reef",120,84,22,rare
Shock,2254,1394,30,common
"Show and Tell",7022,,5,mythic
"Siege Rhino",15060,810,4,rare
"Sign in Blood",227,424,18,common
Silence,423,1390,10,rare
"Simic Growth Chamber",275,3725,22,uncommon
Skullclamp,45,,24,uncommon
"Skycloud Expanse",352,,25,rare
Smokestack,8333,970,5,rare
"Smoldering Marsh",94,1131,31,rare
"Smothering Tithe",57,5427,13,mythic
"Snakeskin Veil",488,2689,8,common
Snap,277,,8,common
"Snapcaster Mage",1470,,10,mythic
"Sneak Attack",1427,,12,mythic
"Snuff Out",810,,8,common
"Sol Ring",1,,111,uncommon
"Solemn Simulacrum",35,949,51,rare
"Spark Double",395,5237,9,rare
"Spectator Seating",170,,5,rare
"Spire Garden",187,,6,rare
"Spire of Industry",380,772,13,rare
"Splinter Twin",5133,571,3,rare
"Springleaf Drum",605,384,8,uncommon
"Sram, Senior Edificer",468,541,13,rare
Stasis,7591,,12,rare
"Steam Vents",69,,15,rare
"Stomping Ground",67,18,18,rare
"Stoneforge Mystic",1135,,7,rare
"Storm Crow",19765,13911,15,common
"Stormcarved Coast",221,148,10,rare
"Stroke of Midnight",184,2556,5,uncommon
"Sulfur Falls",86,117,18,rare
"Sulfurous Springs",161,183,24,rare
"Sun Titan",279,2621,26,mythic
"Sundown Pass",311,,10,rare
"Sungrass Prairie",433,,25,rare
"Sunken Hollow",82,237,35,rare
"Sunpetal Grove",137,250,18,rare
"Supreme Verdict",459,81,12,rare
"Swan Song",76,912,6,rare
"Swiftfoot Boots",12,2881,41,uncommon
"Sword of Feast and Famine",536,2422,11,mythic
"Sword of Fire and Ice",1397,614,7,mythic
"Sword of the Animist",241,6621,15,rare
"Swords to Plowshares",11,,81,uncommon
"Sylvan Library",255,189,13,mythic
"Syr Konrad, the Grim",244,3889,11,uncommon
Taiga,439,,10,rare
"Tainted Field",428,,13,uncommon
"Tainted Isle",474,,10,uncommon
"Tainted Peak",493,,8,uncommon
"Tainted Wood",436,,13,uncommon
"Talisman of Conviction",155,2103,15,uncommon
"Talisman of Creativity",126,754,16,uncommon
"Talisman of Curiosity",444,2346,11,uncommon
"Talisman of Dominance",90,,20,uncommon
"Talisman of Hierarchy",138,1533,14,uncommon
"Talisman of Indulgence",127,919,14,uncommon
"Talisman of Progress",148,1909,16,uncommon
"Talisman of Resilience",484,2529,10,uncommon
"Tangle Wire",7570,,4,rare
Tarmogoyf,8463,,10,mythic
"Tatyova, Benthic Druid",446,1913,11,uncommon
"Teferi's Protection",100,,10,rare
"Teferi, Hero of Dominaria",4228,134,7,mythic
"Teferi, Time Raveler",1087,,8,mythic
"Temple Garden",83,39,15,rare
"Temple of Abandon",460,988,25,rare
"Temple of Deceit",303,616,23,rare
"Temple of Enlightenment",297,499,27,rare
"Temple of Epiphany",263,439,33,rare
"Temple of Malady",343,609,22,rare
"Temple of Malice",396,820,21,rare
"Temple of Mystery",295,440,31,rare
"Temple of Plenty",462,1476,24,rare
"Temple of Silence",269,378,27,rare
"Temple of Triumph",286,1234,29,rare
"Temple of the False God",70,,40,uncommon
Terminate,219,269,27,common
"Terramorphic Expanse",28,718,56,common
"Thalia, Guardian of Thraben",2115,92,17,rare
"Thassa, God of the Sea",1848,5524,3,mythic
"The Great Henge",234,,10,mythic
"The One Ring",85,,8,mythic
"The Ozolith",308,1233,8,rare
"The Rack",16116,,8,special
"Thought Vessel",21,764,29,common
"Thought-Knot Seer",8382,,6,rare
Thoughtseize,4318,,10,rare
Thragtusk,7437,570,9,rare
"Thran Dynamo",206,,14,uncommon
"Three Tree City",197,890,7,rare
"Three Visits",44,,13,uncommon
"Thrill of Possibility",201,1193,14,common
"Time Vault",,,7,mythic
"Time Walk",,,10,bonus
Timetwister,3222,,11,bonus
Tinker,,,6,uncommon
"Tireless Provisioner",177,2082,8,uncommon
"Tolarian Academy",,,2,mythic
"Toski, Bearer of Secrets",376,2794,8,rare
"Toxic Deluge",65,,12,rare
"Training Center",145,,6,rare
"Treasure Vault",496,,11,rare
Trinisphere,4802,,7,mythic
"Tropical Island",369,,10,rare
"True-Name Nemesis",10446,,4,mythic
Tundra,373,,10,rare
"Twilight Mire",430,209,10,rare
"Ugin, the Spirit Dragon",1496,288,10,mythic
"Umezawa's Jitte",2921,,7,rare
"Unclaimed Territory",233,,13,uncommon
"Underground River",154,226,25,rare
"Underground Sea",300,,10,rare
"Undergrowth Stadium",179,,6,rare
"Underworld Breach",399,650,9,rare
"Unnatural Growth",453,12831,9,rare
"Urborg, Tomb of Yawgmoth",71,,10,rare
"Uro, Titan of Nature's Wrath",1411,,8,mythic
"Urza's Incubator",306,7741,8,rare
"Urza's Saga",119,,8,rare
"Utopia Sprawl",330,,9,uncommon
"Vampiric Tutor",107,,13,mythic
Vandalblast,97,2239,15,uncommon
"Vanquisher's Banner",334,6346,9,rare
"Vault of Champions",167,,5,rare
"Vault of the Archangel",461,2061,8,rare
"Vendilion Clique",6820,161,8,mythic
"Verdant Catacombs",47,,11,rare
Victimize,130,1481,19,uncommon
"Village Rites",200,1259,10,common
"Viscera Seer",256,1114,8,common
"Vito, Thorn of the Dusk Rose",494,2677,9,rare
"Volcanic Island",357,,10,rare
"Walking Ballista",472,,10,rare
"War Room",150,,12,rare
Wasteland,1164,,22,rare
"Watery Grave",52,,18,rare
"Wayfarer's Bauble",109,2524,32,common
"Welcoming Vampire",434,8208,9,rare
"Wheel of Fortune",555,,11,mythic
"Whispersilk Cloak",310,7405,15,uncommon
"Wild Growth",203,195,25,common
"Wild Nacatl",15111,4454,4,common
Windfall,144,,16,uncommon
"Windswept Heath",46,,11,rare
"Winter Orb",3142,,16,rare
"Wooded Foothills",49,,10,rare
"Woodland Cemetery",122,177,17,rare
"Worldly Tutor",164,,7,rare
"Wrenn and Six",5942,,7,mythic
"Yavimaya Coast",135,129,22,rare
"Yavimaya, Cradle of Growth",75,,8,rare
"Yawgmoth's Bargain",,1511,2,mythic
"Yawgmoth's Will",2551,,4,mythic
"Zulaport Cutthroat",243,906,11,uncommon
